name,username,password_hash,type,plaintext_pass
Toby Halahan,thalahan0@uwaterloo.ca,8224feea4e4230e829fff89e8987c983a2baad9cd3752915c993fc291041a9cb,admin,NyLOYwupE6Kp
Sherye Tadman,stadman1@uwaterloo.ca,52b37f8d2e3222c706950487fffb06994a65b4c945b34ee0314804666f841b71,admin,EisBkV7h2s
Margarethe Custy,mcusty2@uwaterloo.ca,c6116a5dedaeef40d8c7589838ceda565f2a881baa97f1a09722d5a0f0013ef9,admin,QppZ1cl0B
Hyman Falconer,hfalconer3@uwaterloo.ca,e40f8528743210a8e48391a8006c7ba816148b3fb0ea4062633268537ffc9e3c,admin,fNjsmp
Virginie Krink,vkrink4@uwaterloo.ca,fa6cbfeb6fe87a88858ccd1a585efa4ca5c85549924c00ad73fcebcaffce4d31,admin,Sfc0G8Y5
Kiri Marielle,kmarielle5@uwaterloo.ca,08605e9741de7cd61313147010dd1c329119d27ccfee940b3f99150450083437,staff,fwDAEHoHGGTo
Marla Lewer,mlewer6@uwaterloo.ca,00ff06f66da8cacf9439d3e722522fb14d82a3092107b0d2584d21d2109f6c3a,staff,ZyzHL3q1t1X
Hilario Dundendale,hdundendale7@uwaterloo.ca,9c5c5fe25ea17266c23f28c15e1a857cd2477fd1ce50d19c3dc27ffc1d08027b,staff,5YJEpQC9
Kissiah Costi,kcosti8@uwaterloo.ca,b44ae361139048aae25c907a50fe712ac48d96c4e087a48dfd8ba87fbe8d011b,staff,2BANxCLT
Viviyan Cristofolini,vcristofolini9@uwaterloo.ca,ad030adb7d215377adcc04e1c0c7044e018dcd4ac269b294f13d7e0f576800a1,staff,QXl421uloBcz
Van Myrkus,vmyrkusa@uwaterloo.ca,ca72c6567ef12a1045e370e860c132dd02fd2dfcc762110cf1ba1368a66620e4,staff,bOUn4ExtvF
Waiter Oxbrough,woxbroughb@uwaterloo.ca,123c5ee63a4f919e3655f6b7a24b6493c7453227d0699abe0a4baf2089c6001e,staff,ixSRyat
Bale O'Connolly,boconnollyc@uwaterloo.ca,7aa2966c9d8055fe626179ebc30aa398eb26c868c19b9e655de7d87c88d26ba1,staff,LX2aAXeqEB
Louis Dand,ldandd@uwaterloo.ca,6ad1e38c3ab696e771f78590e84d996a01690400cabf6e45e878970497d8c41a,staff,tMig2N
Sharron Redmond,sredmonde@uwaterloo.ca,10cae5401cc6099df7ee59d2cb94da45d1adba3e84d31e34e5e0457471b011b4,staff,7D7jMd
Boy Stanbury,bstanburyf@uwaterloo.ca,f9a7710c56062a9b1436a49933350301ea2687746db1784deb3a5bd46b2907f5,staff,PnulD3C
Gerick Langabeer,glangabeerg@uwaterloo.ca,a1ae9b1403b289589862257764d9cd9c2bc78620bfeb4f8a5834a94e557d8418,staff,3Ac98nrXzH
Gussi Toynbee,gtoynbeeh@uwaterloo.ca,dd369e40d294b3494ec143b7194edc804da698ff5b569e8aafa8206787750c43,staff,3qhqQnxBEEh
Jody Desforges,jdesforgesi@uwaterloo.ca,f8a85426c4e581ffea9ae397e88fccb609d191522e0d59fdb6504ea92da7b220,staff,10FyfdC799
